t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
2.121212121212121104e+00,3.576829656958580017e-02,2.545481920242309570e-01,1.713580042123794556e-01,-2.153557240962982178e-01,4.552206099033355713e-01,2.631561160087585449e-01,2.582360208034515381e-01,-4.406763017177581787e-01,-1.666682511568069458e-01,-1.434245426207780838e-02,3.193075656890869141e-01,1.981796510517597198e-02
2.222222222222222321e+00,2.498102746903896332e-02,1.777796447277069092e-01,1.196785792708396912e-01,-1.504071503877639771e-01,3.179317712783813477e-01,1.837915182113647461e-01,1.803552806377410889e-01,-3.077738881111145020e-01,-1.164031997323036194e-01,-1.001694984734058380e-02,2.230084240436553955e-01,1.384111493825912476e-02
2.323232323232323093e+00,1.305827312171459198e-02,9.293033927679061890e-02,6.255929917097091675e-02,-7.862196862697601318e-02,1.661917269229888916e-01,9.607291221618652344e-02,9.427668899297714233e-02,-1.608819067478179932e-01,-6.084717065095901489e-02,-5.236136727035045624e-03,1.165726631879806519e-01,7.235133554786443710e-03
2.424242424242424310e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525082e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.626262626262626299e+00,-2.356220409274101257e-02,-1.557480357587337494e-02,-7.526378333568572998e-02,5.354135110974311829e-02,-2.780284285545349121e-01,-2.381313592195510864e-01,-5.267792195081710815e-02,7.019253075122833252e-02,1.978635489940643311e-01,1.031832545995712280e-01,-9.802040457725524902e-02,-6.597442924976348877e-02
2.727272727272727071e+00,-4.507552087306976318e-02,-2.979527786374092102e-02,-1.439829170703887939e-01,1.024269312620162964e-01,-5.318804979324340820e-01,-4.555556774139404297e-01,-1.007751598954200745e-01,1.342813670635223389e-01,3.785215914249420166e-01,1.973940581083297729e-01,-1.875173151493072510e-01,-1.262119710445404053e-01
2.828282828282828287e+00,-6.453995406627655029e-02,-4.266142100095748901e-02,-2.061573565006256104e-01,1.466567367315292358e-01,-7.615562081336975098e-01,-6.522728204727172852e-01,-1.442916989326477051e-01,1.922664940357208252e-01,5.419740676879882812e-01,2.826324105262756348e-01,-2.684907019138336182e-01,-1.807125806808471680e-01
2.929292929292929060e+00,-8.195549249649047852e-02,-5.417323112487792969e-02,-2.617870867252349854e-01,1.862307786941528320e-01,-9.670554399490356445e-01,-8.282829523086547852e-01,-1.832275539636611938e-01,2.441479265689849854e-01,6.882210373878479004e-01,3.588982820510864258e-01,-3.409405350685119629e-01,-2.294762879610061646e-01
3.030303030303030276e+00,-9.732214361429214478e-02,-6.433071196079254150e-02,-3.108721375465393066e-01,2.211490422487258911e-01,-1.148378252983093262e+00,-9.835859537124633789e-01,-2.175827026367187500e-01,2.899256348609924316e-01,8.172624707221984863e-01,4.261916577816009521e-01,-4.048668742179870605e-01,-2.725030779838562012e-01
3.131313131313131048e+00,-1.106399148702621460e-01,-7.313386350870132446e-02,-3.534125685691833496e-01,2.514115571975708008e-01,-1.305524945259094238e+00,-1.118181943893432617e+00,-2.473572045564651489e-01,3.295997083187103271e-01,9.290984272956848145e-01,4.845126569271087646e-01,-4.602697491645812988e-01,-3.097929954528808594e-01
3.232323232323232265e+00,-1.219087988138198853e-01,-8.058268576860427856e-02,-3.894083201885223389e-01,2.770182788372039795e-01,-1.438495039939880371e+00,-1.232071042060852051e+00,-2.725510001182556152e-01,3.631700873374938965e-01,1.023728847503662109e+00,5.338612198829650879e-01,-5.071491003036499023e-01,-3.413459956645965576e-01
3.333333333333333481e+00,-1.311287730932235718e-01,-8.667716383934020996e-02,-4.188593327999114990e-01,2.979692220687866211e-01,-1.547288656234741211e+00,-1.325252771377563477e+00,-2.931640744209289551e-01,3.906366825103759766e-01,1.101153612136840820e+00,5.742372274398803711e-01,-5.455048680305480957e-01,-3.671620488166809082e-01
3.434343434343434254e+00,-1.382998973131179810e-01,-9.141732752323150635e-02,-4.417657256126403809e-01,3.142644464969635010e-01,-1.631906151771545410e+00,-1.397727608680725098e+00,-3.091965019702911377e-01,4.119996428489685059e-01,1.161373019218444824e+00,6.056408286094665527e-01,-5.753371715545654297e-01,-3.872412443161010742e-01
3.535353535353535470e+00,-1.434220969676971436e-01,-9.480314701795578003e-02,-4.581274092197418213e-01,3.259038329124450684e-01,-1.692346930503845215e+00,-1.449495077133178711e+00,-3.206482231616973877e-01,4.272588789463043213e-01,1.204386830329895020e+00,6.280719637870788574e-01,-5.966459512710571289e-01,-4.015834927558898926e-01
3.636363636363636243e+00,-1.464954316616058350e-01,-9.683464467525482178e-02,-4.679444432258605957e-01,3.328875005245208740e-01,-1.728611588478088379e+00,-1.480555772781372070e+00,-3.275192379951477051e-01,4.364144206047058105e-01,1.230195045471191406e+00,6.415306329727172852e-01,-6.094312071800231934e-01,-4.101888537406921387e-01
3.737373737373737459e+00,-1.475198864936828613e-01,-9.751181304454803467e-02,-4.712167680263519287e-01,3.352153897285461426e-01,-1.740699768066406250e+00,-1.490909337997436523e+00,-3.298096060752868652e-01,4.394662976264953613e-01,1.238797903060913086e+00,6.460168957710266113e-01,-6.136929988861083984e-01,-4.130573272705078125e-01
3.838383838383838231e+00,-1.464954465627670288e-01,-9.683465212583541870e-02,-4.679444432258605957e-01,3.328875303268432617e-01,-1.728611707687377930e+00,-1.480555891990661621e+00,-3.275192677974700928e-01,4.364144206047058105e-01,1.230195164680480957e+00,6.415306925773620605e-01,-6.094312667846679688e-01,-4.101888537406921387e-01
3.939393939393939448e+00,-1.434221118688583374e-01,-9.480315446853637695e-02,-4.581274390220642090e-01,3.259038627147674561e-01,-1.692347168922424316e+00,-1.449495315551757812e+00,-3.206482529640197754e-01,4.272589087486267090e-01,1.204386949539184570e+00,6.280720233917236328e-01,-5.966459512710571289e-01,-4.015835225582122803e-01
