t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
2.929292929292929060e+00,1.180478483438491821e-01,9.576689600944519043e-01,5.946174860000610352e-01,-7.790181636810302734e-01,1.519272446632385254e+00,8.184365630149841309e-01,9.430390596389770508e-01,-1.624511837959289551e+00,-4.819886684417724609e-01,2.511725947260856628e-02,1.140645265579223633e+00,2.450226992368698120e-02
3.030303030303030276e+00,1.086926832795143127e-01,9.514850974082946777e-01,5.647346377372741699e-01,-7.577600479125976562e-01,1.408883690834045410e+00,7.238886356353759766e-01,9.221237897872924805e-01,-1.596642494201660156e+00,-4.034286737442016602e-01,6.608524918556213379e-02,1.101727128028869629e+00,-1.692287623882293701e-03
3.131313131313131048e+00,9.784354269504547119e-02,9.443137049674987793e-01,5.300797224044799805e-01,-7.331070899963378906e-01,1.280866384506225586e+00,6.142418384552001953e-01,8.978683948516845703e-01,-1.564322590827941895e+00,-3.123230636119842529e-01,1.135956496000289917e-01,1.056593894958496094e+00,-3.207000344991683960e-02
3.232323232323232265e+00,8.571384847164154053e-02,9.362959265708923340e-01,4.913342893123626709e-01,-7.055442929267883301e-01,1.137738823890686035e+00,4.916530251502990723e-01,8.707500696182250977e-01,-1.528187870979309082e+00,-2.104639410972595215e-01,1.667138487100601196e-01,1.006133556365966797e+00,-6.603329628705978394e-02
3.333333333333333481e+00,7.251701503992080688e-02,9.275726675987243652e-01,4.491801857948303223e-01,-6.755566596984863281e-01,9.820193052291870117e-01,3.582792878150939941e-01,8.412459492683410645e-01,-1.488874077796936035e+00,-9.964358806610107422e-02,2.245052009820938110e-01,9.512338042259216309e-01,-1.029845699667930603e-01
3.434343434343434254e+00,5.846649408340454102e-02,9.182851910591125488e-01,4.042991697788238525e-01,-6.436290740966796875e-01,8.162264823913574219e-01,2.162777185440063477e-01,8.098332881927490234e-01,-1.447017192840576172e+00,1.834565401077270508e-02,2.860350608825683594e-01,8.927826285362243652e-01,-1.423262059688568115e-01
3.535353535353535470e+00,4.377567768096923828e-02,9.085744619369506836e-01,3.573729097843170166e-01,-6.102465391159057617e-01,6.428782939910888672e-01,6.780505180358886719e-02,7.769891023635864258e-01,-1.403252840042114258e+00,1.417117118835449219e-01,3.503688573837280273e-01,8.316678404808044434e-01,-1.834606528282165527e-01
3.636363636363636243e+00,2.865803241729736328e-02,8.985815644264221191e-01,3.090832233428955078e-01,-5.758941173553466797e-01,4.644936323165893555e-01,-8.498144149780273438e-02,7.431906461715698242e-01,-1.358216881752014160e+00,2.686621546745300293e-01,4.165718555450439453e-01,7.687773704528808594e-01,-2.257902324199676514e-01
3.737373737373737459e+00,1.332694292068481445e-02,8.884475827217102051e-01,2.601117491722106934e-01,-5.410566329956054688e-01,2.835904359817504883e-01,-2.399250268936157227e-01,7.089149951934814453e-01,-1.312545061111450195e+00,3.974049091339111328e-01,4.837095141410827637e-01,7.049989700317382812e-01,-2.687174379825592041e-01
3.838383838383838231e+00,-2.004131674766540527e-03,8.783136010169982910e-01,2.111403346061706543e-01,-5.062192082405090332e-01,1.026873588562011719e-01,-3.948684930801391602e-01,6.746393442153930664e-01,-1.266873359680175781e+00,5.261476039886474609e-01,5.508471131324768066e-01,6.412206292152404785e-01,-3.116446137428283691e-01
